,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,0,77,NaN,7866,1,44840,562822,0
1,0,72,1,7866,372,40942,635387,0
2,0,67,1,7866,7586,30040,698658,0
3,0,84,0,7866,7603,4963,734190,0
4,0,64,1,7866,8159,17558,767189,0
5,0,79,0,7866,7532,28487,817228,0
6,0,61,1,7866,7558,14595,844695,0
7,0,47,1,7866,7922,15756,876312,0
8,0,86,0,7866,7521,12094,921393,0
9,0,44,1,7866,8083,13640,946890,0
10,0,91,0,7866,6500,10970,970348,0
11,0,97,0,7866,5278,4928,984882,0
12,0,90,0,7866,4227,4798,1006153,0
13,0,65,1,7866,7560,10772,1033237,0
14,0,84,0,7866,4200,9189,1055259,0
15,0,70,1,7866,8322,9579,1076706,0
16,0,54,1,7866,7749,6304,1095671,0
17,0,86,0,7866,4196,4990,1111185,0
18,0,87,0,7866,3960,11074,1130545,0
19,0,46,1,7866,8161,8566,1148744,0
20,0,84,0,7866,1921,8615,1174760,0
