,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,0,79,NaN,1386,1,15288,1218602,NaN
1,0,38,1,1386,1921,7976,1242731,NaN
2,0,56,0,1386,8159,12194,1266854,NaN
3,0,32,1,1386,8083,4041,1284465,NaN
4,0,23,1,1386,7947,6120,1295335,NaN
5,0,43,0,1386,7761,11878,1316618,NaN
6,0,21,1,1386,7752,5855,1332252,NaN
7,0,39,0,1386,7680,13391,1358792,NaN
8,0,26,1,1386,8371,7448,1376578,NaN
9,0,22,1,1386,7922,5638,1388954,NaN
10,0,36,0,1386,7616,4995,1401379,NaN
11,0,38,0,1386,7561,6679,1423782,NaN
12,0,23,1,1386,7657,5464,1436283,NaN
13,0,45,0,1386,6952,3123,1454300,NaN
14,0,51,0,1386,6740,5842,1471751,NaN
15,0,23,1,1386,7668,2514,1485507,NaN
16,0,47,0,1386,5474,4791,1504395,NaN
17,0,16,1,1386,7695,13592,1522982,NaN
18,0,37,0,1386,4200,6500,1538746,NaN
19,0,59,0,1386,409,8371,1560114,NaN
20,0,38,1,1386,5335,5249,1576813,NaN
