,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,57,NaN,6154,1,17740,987969,NaN
1,1,56,0,6154,4371,5802,1007056,NaN
2,1,55,1,6154,5521,4978,1020672,NaN
3,1,52,0,6154,4058,3250,1030768,NaN
4,1,49,0,6154,3808,2778,1038984,NaN
5,1,49,1,6154,4436,4281,1050648,NaN
6,1,48,0,6154,2980,2427,1058792,NaN
7,1,48,1,6154,6756,2290,1066128,NaN
8,1,44,0,6154,2651,2802,1074583,NaN
9,1,40,0,6154,1143,1947,1081903,NaN
10,1,43,1,6154,6544,2210,1088678,NaN
11,1,42,1,6154,5930,3473,1121577,NaN
12,1,36,0,6154,690,1706,1130888,NaN
13,1,38,1,6154,6681,3762,1141895,NaN
14,1,40,1,6154,7106,4762,1150983,NaN
15,1,39,0,6154,545,5106,1161438,NaN
16,1,42,1,6154,6524,3994,1170046,NaN
17,1,37,0,6154,333,2233,1182616,NaN
18,1,39,1,6154,7173,3081,1191247,NaN
19,1,44,1,6154,6847,2275,1202623,NaN
20,1,41,0,6154,329,1906,1215686,NaN
