,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,70,NaN,2203,1,8963,852181,NaN
1,1,50,0,2203,6510,6709,866844,NaN
2,1,56,1,2203,6992,5157,881780,NaN
3,1,41,0,2203,6487,6269,896867,NaN
4,1,36,0,2203,6482,4758,911349,NaN
5,1,46,1,2203,6544,3885,924925,NaN
6,1,24,0,2203,6338,4350,937324,NaN
7,1,36,1,2203,3880,3429,955059,NaN
8,1,25,0,2203,6205,7258,968117,NaN
9,1,16,0,2203,4892,4118,978749,NaN
10,1,18,1,2203,5392,3046,989380,NaN
11,1,25,1,2203,4058,3173,1008780,NaN
12,1,21,0,2203,4371,6597,1024259,NaN
13,1,25,1,2203,333,2646,1035596,NaN
14,1,30,1,2203,3894,2117,1048860,NaN
15,1,31,0,2203,4149,4894,1061075,NaN
16,1,26,1,2203,7106,5005,1075474,NaN
17,1,26,0,2203,2084,3799,1089868,NaN
18,1,25,1,2203,6643,2109,1100331,NaN
19,1,34,1,2203,7138,5718,1115323,NaN
20,1,25,0,2203,1143,3109,1130290,NaN
