,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,0,41,NaN,3882,1,21449,1085416,NaN
1,0,40,0,3882,7517,6014,1102386,NaN
2,0,33,1,3882,7665,3885,1114850,NaN
3,0,37,0,3882,7921,2309,1122185,NaN
4,0,40,0,3882,8185,3533,1130593,NaN
5,0,38,1,3882,7609,3188,1139168,NaN
6,0,43,0,3882,8161,6172,1155055,NaN
7,0,41,1,3882,7571,1920,1162490,NaN
8,0,46,0,3882,8303,2894,1170194,NaN
9,0,49,0,3882,8343,4500,1179217,NaN
10,0,46,1,3882,7552,2524,1186705,NaN
11,0,38,1,3882,7543,4956,1196480,NaN
12,0,45,0,3882,8395,2157,1203545,NaN
13,0,32,1,3882,7529,3013,1211536,NaN
14,0,31,1,3882,6086,2565,1218839,NaN
15,0,41,0,3882,6500,3485,1227169,NaN
16,0,29,1,3882,5229,2892,1235976,NaN
17,0,39,0,3882,5278,2645,1243368,NaN
18,0,34,1,3882,4873,2909,1251720,NaN
19,0,33,1,3882,949,2180,1259239,NaN
20,0,34,0,3882,5569,2469,1266223,NaN
