,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,69,NaN,5408,1,8931,943262,NaN
1,1,67,0,5408,210,6345,957158,NaN
2,1,74,1,5408,5371,2496,971373,NaN
3,1,68,0,5408,2012,4385,981517,NaN
4,1,65,0,5408,765,4937,992629,NaN
5,1,71,1,5408,5331,5666,1009054,NaN
6,1,68,0,5408,1183,4280,1020775,NaN
7,1,66,0,5408,5310,3848,1033461,NaN
8,1,71,1,5408,5308,4649,1043653,NaN
9,1,71,0,5408,5463,3400,1059254,NaN
10,1,76,1,5408,4374,3338,1069029,NaN
11,1,76,1,5408,4300,4370,1081548,NaN
12,1,82,1,5408,4142,2976,1098189,NaN
13,1,73,0,5408,2250,4817,1111869,NaN
14,1,78,1,5408,3705,4224,1122974,NaN
15,1,76,0,5408,2850,4040,1136950,NaN
16,1,76,0,5408,5933,4800,1151198,NaN
17,1,79,1,5408,1881,2794,1158725,NaN
18,1,81,1,5408,1284,2418,1165837,NaN
19,1,81,0,5408,478,7529,1182342,NaN
20,1,83,1,5408,219,5560,1192694,NaN
