,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,54,NaN,3980,1,7680,522087,1
1,1,33,0,3980,4504,5269,547382,1
2,1,38,0,3980,4085,5215,568687,1
3,1,42,1,3980,4574,4295,590806,1
4,1,34,0,3980,5955,3816,604694,1
5,1,44,1,3980,4299,3855,634206,1
6,1,41,0,3980,5253,5767,662230,1
7,1,35,0,3980,1746,2975,686374,1
8,1,35,1,3980,3827,8999,710645,1
9,1,31,0,3980,5933,2489,721302,1
10,1,34,1,3980,3737,4576,735726,1
11,1,42,1,3980,3221,4073,756630,1
12,1,45,1,3980,2478,6055,774053,1
13,1,41,0,3980,5387,6288,792046,1
14,1,47,1,3980,2305,3255,808502,1
15,1,44,0,3980,8243,4168,823782,1
16,1,40,0,3980,5524,3393,833997,1
17,1,46,1,3980,1881,3712,863054,1
18,1,42,1,3980,1316,2311,877974,1
19,1,38,0,3980,2199,2969,886565,1
20,1,44,1,3980,356,2777,898022,1
