,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,0,64,NaN,5931,1,8040,333976,0
1,0,68,0,5931,5308,3338,345543,0
2,0,71,0,5931,5214,3552,355607,0
3,0,64,1,5931,4085,3465,364079,0
4,0,67,0,5931,4657,3384,373600,0
5,0,64,1,5931,1316,9508,387791,0
6,0,68,0,5931,4504,3378,395694,0
7,0,69,0,5931,4300,4004,405486,0
8,0,67,1,5931,5253,4713,415089,0
9,0,71,0,5931,4299,6585,426046,0
10,0,66,1,5931,4574,4489,435086,0
11,0,64,1,5931,5376,3066,442703,0
12,0,62,1,5931,3221,3132,450103,0
13,0,63,0,5931,4203,5024,459382,0
14,0,65,1,5931,3737,6801,470422,0
15,0,67,0,5931,1881,6362,481054,0
16,0,66,0,5931,1746,2170,489054,0
17,0,57,1,5931,3980,4165,497950,0
18,0,57,1,5931,2305,2977,505158,0
19,0,58,0,5931,356,4082,513590,0
20,0,56,1,5931,4719,4393,522206,0
