,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,0,51,NaN,4093,1,10597,509567,1
1,0,31,1,4093,7674,21420,549628,1
2,0,29,1,4093,7532,10530,573307,1
3,0,37,0,4093,8398,3991,598295,1
4,0,34,1,4093,7529,6324,627375,1
5,0,35,0,4093,6952,4334,643648,1
6,0,31,1,4093,7521,3303,655462,1
7,0,26,1,4093,5335,5593,670663,1
8,0,31,0,4093,7517,6130,687746,1
9,0,27,1,4093,5278,3922,700952,1
10,0,30,0,4093,7561,4860,714025,1
11,0,34,0,4093,3274,4955,731427,1
12,0,40,0,4093,1386,4397,743175,1
13,0,36,1,4093,4285,4630,758810,1
14,0,32,0,4093,7922,5758,772420,1
15,0,29,1,4093,4200,6551,785996,1
16,0,28,1,4093,3543,3361,814932,1
17,0,28,0,4093,7668,3866,826268,1
18,0,27,0,4093,6740,2576,841377,1
19,0,25,1,4093,409,10275,876526,1
20,0,26,0,4093,4196,3968,888335,1
