,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,51,NaN,765,1,28008,726891,NaN
1,1,76,1,765,4504,2489,739491,NaN
2,1,61,0,765,1746,3841,751802,NaN
3,1,75,1,765,4300,4416,762105,NaN
4,1,75,1,765,4142,4778,771699,NaN
5,1,67,0,765,3221,5282,781898,NaN
6,1,72,1,765,3827,5258,791810,NaN
7,1,78,1,765,3705,8341,805506,NaN
8,1,72,0,765,1183,2726,812706,NaN
9,1,80,1,765,3049,2378,819843,NaN
10,1,75,0,765,2250,4761,828931,NaN
11,1,66,0,765,5524,4477,838826,NaN
12,1,57,0,765,5310,4473,847650,NaN
13,1,62,1,765,2012,9129,860946,NaN
14,1,55,0,765,611,4928,870314,NaN
15,1,56,1,765,478,4881,881065,NaN
16,1,59,1,765,399,2963,889770,NaN
17,1,56,0,765,4291,3786,899522,NaN
18,1,53,0,765,5371,6162,909978,NaN
19,1,54,1,765,210,3010,917689,NaN
20,1,49,0,765,1284,4382,927418,NaN
