,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,76,NaN,3705,1,9730,599040,NaN
1,1,73,0,3705,2850,1724,613464,NaN
2,1,72,1,3705,660,1474,622551,NaN
3,1,67,0,3705,2250,2345,632158,NaN
4,1,68,0,3705,2012,2337,641062,NaN
5,1,67,1,3705,3221,2117,649791,NaN
6,1,73,0,3705,1746,2898,658344,NaN
7,1,63,0,3705,1284,3681,668087,NaN
8,1,63,1,3705,3049,2073,676992,NaN
9,1,63,0,3705,1183,3363,685775,NaN
10,1,71,1,3705,219,1822,698872,NaN
11,1,69,1,3705,5524,3373,712792,NaN
12,1,72,1,3705,399,2626,721959,NaN
13,1,72,0,3705,765,1993,728912,NaN
14,1,81,1,3705,4142,2583,735855,NaN
15,1,70,0,3705,611,2113,742903,NaN
16,1,74,0,3705,478,2338,750120,NaN
17,1,79,1,3705,5404,1980,756871,NaN
18,1,85,1,3705,1881,4385,766150,NaN
19,1,64,0,3705,210,1826,773512,NaN
20,1,79,1,3705,5913,2709,780672,NaN
