,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,0,40,NaN,5933,1,11927,772000,NaN
1,0,30,1,5933,5371,13696,792784,NaN
2,0,30,0,5933,4553,4239,808544,NaN
3,0,28,1,5933,5331,3815,816744,NaN
4,0,19,1,5933,4300,4632,826713,NaN
5,0,9,0,5933,3980,4671,836207,NaN
6,0,5,1,5933,3705,8966,849191,NaN
7,0,5,1,5933,3221,2759,858199,NaN
8,0,5,0,5933,3827,9425,875392,NaN
9,0,3,1,5933,1881,2176,882015,NaN
10,0,4,0,5933,4374,3150,893391,NaN
11,0,5,0,5933,4719,3102,903055,NaN
12,0,4,0,5933,2199,3433,910920,NaN
13,0,3,1,5933,660,3504,919551,NaN
14,0,3,0,5933,2850,3730,927728,NaN
15,0,2,1,5933,611,2896,938384,NaN
16,0,2,1,5933,219,5009,951424,NaN
17,0,5,0,5933,4299,3080,959385,NaN
18,0,5,0,5933,4203,2281,966088,NaN
19,0,5,1,5933,210,2399,973760,NaN
20,0,4,0,5933,4142,1681,980064,NaN
