,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,30,NaN,5921,1,14128,298549,1
1,1,25,0,5921,4291,16439,323621,1
2,1,25,0,5921,5554,9932,346411,1
3,1,25,1,5921,5354,5465,361957,1
4,1,20,0,5921,4300,6733,375405,1
5,1,20,1,5921,5253,6309,395861,1
6,1,20,0,5921,5699,6654,412173,1
7,1,15,0,5921,4374,7085,426813,1
8,1,15,1,5921,4657,15645,453917,1
9,1,15,0,5921,5933,6103,469926,1
10,1,15,1,5921,4574,6613,493253,1
11,1,17,1,5921,4553,6557,508828,1
12,1,20,1,5921,4465,6493,526508,1
13,1,17,0,5921,2305,9284,548580,1
14,1,17,1,5921,4203,5618,560699,1
15,1,15,0,5921,4299,8501,579267,1
16,1,15,0,5921,5214,3942,588883,1
17,1,15,1,5921,3737,8246,610900,1
18,1,15,1,5921,2199,6047,631100,1
19,1,15,0,5921,4719,4951,644436,1
20,1,15,1,5921,1316,4302,658411,1
