,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,0,36,NaN,8271,1,23028,964931,NaN
1,0,30,0,8271,8322,11367,987059,NaN
2,0,21,1,8271,7665,4407,998651,NaN
3,0,30,0,8271,6500,11127,1018843,NaN
4,0,32,0,8271,7586,5711,1033187,NaN
5,0,28,1,8271,7638,5805,1045667,NaN
6,0,34,0,8271,7858,5871,1060315,NaN
7,0,34,1,8271,7609,10679,1075988,NaN
8,0,35,0,8271,4873,11230,1094643,NaN
9,0,33,0,8271,7149,7886,1110571,NaN
10,0,32,1,8271,7543,3700,1119763,NaN
11,0,30,1,8271,7529,2814,1131507,NaN
12,0,33,0,8271,7761,5063,1147884,NaN
13,0,31,1,8271,7521,11630,1169354,NaN
14,0,26,1,8271,7517,10790,1187619,NaN
15,0,27,0,8271,5229,7501,1203266,NaN
16,0,26,1,8271,5474,12549,1225314,NaN
17,0,26,0,8271,6086,4727,1237538,NaN
18,0,25,1,8271,2523,6302,1249034,NaN
19,0,23,1,8271,372,12471,1266771,NaN
20,0,26,0,8271,8159,6566,1280474,NaN
