,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,0,50,NaN,4828,1,8028,921732,NaN
1,0,43,0,4828,6945,2626,937651,NaN
2,0,40,1,4828,6524,6123,952196,NaN
3,0,50,0,4828,690,5587,967097,NaN
4,0,55,0,4828,4892,5211,982763,NaN
5,0,50,1,4828,6501,5425,995418,NaN
6,0,55,0,4828,6992,6705,1014329,NaN
7,0,46,1,4828,6178,6057,1033104,NaN
8,0,48,0,4828,2980,5635,1047491,NaN
9,0,52,0,4828,5521,3434,1058650,NaN
10,0,46,1,4828,5930,4474,1086241,NaN
11,0,40,1,4828,4371,6026,1106169,NaN
12,0,40,0,4828,6756,2650,1115537,NaN
13,0,35,1,4828,3808,3522,1125689,NaN
14,0,30,1,4828,3687,6948,1137864,NaN
15,0,35,0,4828,333,3265,1152119,NaN
16,0,30,1,4828,2890,6310,1163826,NaN
17,0,39,0,4828,2094,6898,1181185,NaN
18,0,35,1,4828,1143,2314,1188321,NaN
19,0,30,1,4828,360,3219,1196128,NaN
20,0,30,0,4828,4436,6251,1210584,NaN
