,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,0,67,NaN,5554,1,73800,673484,1
1,0,71,0,5554,5253,14748,703898,1
2,0,74,0,5554,8243,15689,730036,1
3,0,68,1,5554,5699,5614,746347,1
4,0,69,0,5554,4465,10112,761979,1
5,0,64,1,5554,5387,8711,783194,1
6,0,71,0,5554,4299,9463,799970,1
7,0,76,0,5554,5237,7442,812442,1
8,0,76,1,5554,5376,5480,828722,1
9,0,74,0,5554,3910,4272,843210,1
10,0,69,1,5554,5354,8881,863658,1
11,0,66,1,5554,4657,6791,877810,1
12,0,59,1,5554,3737,7401,894017,1
13,0,61,0,5554,4574,2840,904722,1
14,0,58,1,5554,2478,4281,915971,1
15,0,56,0,5554,356,7569,931194,1
16,0,63,0,5554,2199,5649,943674,1
17,0,58,1,5554,2472,7097,956883,1
18,0,56,1,5554,2305,9146,971011,1
19,0,58,0,5554,8116,6593,982667,1
20,0,54,1,5554,1316,7433,995491,1
