,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,69,NaN,2850,1,8633,313504,0
1,1,66,0,2850,4504,7745,334606,0
2,1,62,0,2850,4300,11051,361990,0
3,1,65,1,2850,4203,4880,376230,0
4,1,63,0,2850,4142,7068,393399,0
5,1,61,1,2850,3705,6522,408086,0
6,1,61,0,2850,4085,5963,420022,0
7,1,57,0,2850,3049,8898,436910,0
8,1,58,1,2850,219,5628,452455,0
9,1,54,0,2850,2250,3739,464806,0
10,1,56,1,2850,1881,5284,476718,0
11,1,54,1,2850,5371,3267,489807,0
12,1,59,1,2850,1284,3505,499878,0
13,1,54,0,2850,660,4220,514374,0
14,1,56,1,2850,4374,5723,527221,0
15,1,56,0,2850,611,3812,539038,0
16,1,53,0,2850,478,4221,552215,0
17,1,55,1,2850,5955,6132,567374,0
18,1,58,1,2850,3827,3948,576326,0
19,1,56,0,2850,399,5009,586822,0
20,1,58,1,2850,3221,4098,597062,0
