,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,65,NaN,1143,1,11796,1042763,NaN
1,1,62,0,1143,6501,4725,1053659,NaN
2,1,69,1,1143,690,3648,1069228,NaN
3,1,70,0,1143,5521,3637,1080837,NaN
4,1,67,0,1143,4892,4109,1096140,NaN
5,1,72,1,1143,2890,4053,1111467,NaN
6,1,67,0,1143,4828,5342,1121927,NaN
7,1,69,1,1143,7106,4333,1133349,NaN
8,1,67,0,1143,4436,4695,1143757,NaN
9,1,59,0,1143,2980,4519,1152837,NaN
10,1,63,1,1143,6178,5303,1162556,NaN
11,1,67,1,1143,4371,6742,1173940,NaN
12,1,59,0,1143,2651,3629,1187950,NaN
13,1,63,1,1143,7138,4838,1202437,NaN
14,1,72,1,1143,2203,16189,1224851,NaN
15,1,68,0,1143,2094,2502,1237435,NaN
16,1,71,1,1143,333,2983,1248614,NaN
17,1,65,0,1143,545,3805,1263468,NaN
18,1,71,1,1143,6524,3933,1278004,NaN
19,1,75,1,1143,6487,2909,1291411,NaN
20,1,68,0,1143,329,3639,1302090,NaN
