,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,71,NaN,6992,1,3250,728609,NaN
1,1,50,0,6992,6905,1585,737728,NaN
2,1,57,1,6992,6770,1811,750128,NaN
3,1,61,0,6992,6789,1098,757408,NaN
4,1,58,0,6992,6756,1883,768273,NaN
5,1,64,1,6992,6524,2052,778433,NaN
6,1,42,0,6992,6178,2130,790248,NaN
7,1,61,1,6992,7123,1506,799943,NaN
8,1,43,0,6992,6154,2410,811551,NaN
9,1,51,0,6992,4892,1680,820182,NaN
10,1,66,1,6992,6487,1115,834864,NaN
11,1,54,1,6992,4436,1251,844000,NaN
12,1,66,0,6992,3808,2316,859946,NaN
13,1,54,1,6992,6768,1682,873607,NaN
14,1,65,1,6992,7138,1322,882527,NaN
15,1,60,0,6992,690,2298,898312,NaN
16,1,58,1,6992,2203,2482,913775,NaN
17,1,55,0,6992,333,1746,924407,NaN
18,1,68,1,6992,4828,1970,933998,NaN
19,1,66,1,6992,6729,2722,944254,NaN
20,1,47,0,6992,329,1419,953718,NaN
