,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,0,51,NaN,7609,1,16493,1255061,NaN
1,0,41,0,7609,7586,9459,1289564,NaN
2,0,69,1,7609,7638,7024,1314364,NaN
3,0,45,0,7609,7529,7026,1340785,NaN
4,0,64,0,7609,7521,6252,1372859,NaN
5,0,31,1,7609,7757,3231,1394906,NaN
6,0,61,0,7609,7517,6755,1419476,NaN
7,0,86,1,7609,7552,5806,1439950,NaN
8,0,45,0,7609,7149,5671,1456811,NaN
9,0,40,0,7609,6086,16947,1496585,NaN
10,0,34,1,7609,7921,6764,1514561,NaN
11,0,44,1,7609,3960,6220,1538323,NaN
12,0,66,0,7609,5569,12751,1573908,NaN
13,0,50,1,7609,6547,15131,1606981,NaN
14,0,32,1,7609,4227,5313,1620547,NaN
15,0,31,0,7609,5278,3367,1650572,NaN
16,0,44,1,7609,7571,3730,1666992,NaN
17,0,64,0,7609,3882,4549,1685770,NaN
18,0,40,1,7609,8159,4351,1699814,NaN
19,0,56,1,7609,7543,4140,1716300,NaN
20,0,44,0,7609,372,3602,1746689,NaN
