,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,63,NaN,1386,1,11179,681346,0
1,1,59,1,1386,1921,6102,705707,0
2,1,64,1,1386,8083,5961,725449,0
3,1,57,0,1386,8159,2830,740918,0
4,1,68,1,1386,7947,2526,749210,0
5,1,59,0,1386,7761,2739,761983,0
6,1,60,1,1386,7752,2058,770212,0
7,1,56,1,1386,8371,3125,787951,0
8,1,58,0,1386,7680,3922,802582,0
9,1,61,1,1386,7922,4085,820080,0
10,1,57,0,1386,7616,3288,831835,0
11,1,52,0,1386,7561,5853,846718,0
12,1,49,0,1386,6952,2026,860578,0
13,1,53,1,1386,7657,2039,870180,0
14,1,51,0,1386,6740,3192,879862,0
15,1,51,1,1386,7668,2114,891285,0
16,1,51,1,1386,7695,3775,904780,0
17,1,48,0,1386,5474,2152,913513,0
18,1,48,0,1386,4200,2698,924362,0
19,1,53,1,1386,5335,2094,931655,0
20,1,48,0,1386,409,4000,941603,0
