,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,0,40,NaN,8303,1,10896,327400,1
1,0,50,0,8303,8389,10834,347082,1
2,0,61,0,8303,8322,3555,361539,1
3,0,56,1,8303,7552,3975,372774,1
4,0,66,0,8303,8285,3394,386736,1
5,0,55,1,8303,7149,3553,397253,1
6,0,67,0,8303,7715,2375,406459,1
7,0,71,0,8303,7158,3906,424205,1
8,0,65,1,8303,4873,3083,433524,1
9,0,68,0,8303,7761,2311,441912,1
10,0,65,1,8303,4285,4845,451479,1
11,0,62,1,8303,4227,2671,458677,1
12,0,64,1,8303,4196,3076,466255,1
13,0,56,0,8303,8395,2863,474924,1
14,0,51,1,8303,3960,3462,482719,1
15,0,59,0,8303,7989,4517,491690,1
16,0,60,0,8303,7922,3015,499641,1
17,0,54,1,8303,3882,3130,509982,1
18,0,50,1,8303,949,2499,518015,1
19,0,54,0,8303,7696,2186,524769,1
20,0,56,1,8303,409,2900,531901,1
