,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,16,NaN,7720,1,15559,793205,1
1,1,15,0,7720,8285,12282,819236,1
2,1,14,0,7720,7866,3126,836724,1
3,1,15,1,7720,7571,7843,854939,1
4,1,10,0,7720,372,11634,874906,1
5,1,11,1,7720,7521,3469,885922,1
6,1,10,0,7720,8271,9607,902933,1
7,1,10,0,7720,6547,9044,917931,1
8,1,10,1,7720,7149,5100,933827,1
9,1,10,0,7720,3882,9676,950770,1
10,1,10,1,7720,6086,4060,961915,1
11,1,10,1,7720,5278,3212,973594,1
12,1,12,1,7720,4873,4477,984620,1
13,1,10,0,7720,7614,4461,994521,1
14,1,10,1,7720,4285,4317,1006905,1
15,1,10,0,7720,6500,3245,1021139,1
16,1,10,0,7720,7989,4285,1033538,1
17,1,10,1,7720,4196,6355,1049457,1
18,1,11,1,7720,3543,5475,1060513,1
19,1,11,0,7720,7696,4500,1071120,1
20,1,11,1,7720,2523,3733,1080962,1
