,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,49,NaN,6905,1,139696,589568,0
1,1,49,0,6905,7185,9016,617703,0
2,1,44,0,6905,7145,5280,642400,0
3,1,45,1,6905,6487,3649,669054,0
4,1,39,0,6905,7050,10663,694909,0
5,1,44,1,6905,4892,4627,721598,0
6,1,39,0,6905,6789,5202,747749,0
7,1,33,0,6905,6154,2370,766670,0
8,1,37,1,6905,6729,5674,789086,0
9,1,30,0,6905,5930,2722,800957,0
10,1,36,1,6905,6524,2818,817124,0
11,1,38,1,6905,7183,3008,836598,0
12,1,37,1,6905,6847,2585,851278,0
13,1,35,0,6905,5521,5041,865805,0
14,1,40,1,6905,7106,6323,893526,0
15,1,36,0,6905,4828,4689,905373,0
16,1,35,0,6905,2094,6321,920572,0
17,1,35,1,6905,6768,3722,937276,0
18,1,37,1,6905,6992,3193,960374,0
19,1,35,0,6905,360,5554,974660,0
20,1,36,1,6905,6756,2290,987620,0
