,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,65,NaN,2523,1,6928,351870,0
1,1,66,0,2523,7916,9712,370874,0
2,1,48,0,2523,7771,8779,400685,0
3,1,50,1,2523,7521,11221,437290,0
4,1,44,0,2523,7720,2485,466348,0
5,1,47,1,2523,7529,308082,788721,0
6,1,40,0,2523,7586,2932,804568,0
7,1,37,0,2523,7571,1810,813271,0
8,1,50,1,2523,8391,5531,835409,0
9,1,43,0,2523,7543,3567,848592,0
10,1,51,1,2523,5229,2758,861326,0
11,1,50,1,2523,6547,2498,873210,0
12,1,52,1,2523,7665,5924,887642,0
13,1,48,0,2523,7517,2895,897943,0
14,1,50,1,2523,7715,4963,909210,0
15,1,51,0,2523,5474,2850,924669,0
16,1,47,0,2523,4873,2075,933074,0
17,1,47,1,2523,7614,1633,944729,0
18,1,49,1,2523,7696,3547,956720,0
19,1,47,0,2523,372,2735,968799,0
20,1,48,1,2523,4196,1519,982257,0
