,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,31,NaN,8341,1,8869,1019149,NaN
1,1,33,1,8341,7947,4195,1029549,NaN
2,1,30,0,8341,3543,3111,1043024,NaN
3,1,28,1,8341,7752,4224,1055986,NaN
4,1,38,1,8341,7715,6327,1069547,NaN
5,1,30,0,8341,8083,2925,1105119,NaN
6,1,31,1,8341,7695,3503,1126649,NaN
7,1,26,0,8341,1865,3812,1136653,NaN
8,1,37,1,8341,7680,4138,1155713,NaN
9,1,43,1,8341,7668,3309,1168778,NaN
10,1,43,0,8341,7586,3592,1183068,NaN
11,1,38,0,8341,6740,2663,1197863,NaN
12,1,45,1,8341,7566,3855,1210924,NaN
13,1,35,0,8341,7657,3826,1227801,NaN
14,1,30,0,8341,4200,2474,1239434,NaN
15,1,44,1,8341,7521,4051,1259706,NaN
16,1,41,0,8341,5335,3371,1273812,NaN
17,1,48,1,8341,3274,2859,1285059,NaN
18,1,40,0,8341,8407,4503,1296446,NaN
19,1,39,0,8341,8391,4283,1313744,NaN
20,1,37,1,8341,1386,6592,1326690,NaN
