,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,82,NaN,5229,1,10130,591837,NaN
1,1,65,0,5229,6547,9811,614501,NaN
2,1,86,1,5229,8285,3416,632686,NaN
3,1,72,0,5229,6500,4317,650749,NaN
4,1,65,0,5229,5569,3728,667638,NaN
5,1,77,1,5229,409,3340,678564,NaN
6,1,73,0,5229,5474,2701,688006,NaN
7,1,82,1,5229,7552,1595,694315,NaN
8,1,73,0,5229,5278,2813,702813,NaN
9,1,66,0,5229,4873,6046,714876,NaN
10,1,80,1,5229,8389,2257,723047,NaN
11,1,86,1,5229,8159,5315,733851,NaN
12,1,82,0,5229,4227,4577,742859,NaN
13,1,88,1,5229,7858,5916,754826,NaN
14,1,90,1,5229,6086,4895,771253,NaN
15,1,86,0,5229,3882,4026,780338,NaN
16,1,90,1,5229,8395,5139,792212,NaN
17,1,86,0,5229,2523,5580,803640,NaN
18,1,94,1,5229,7696,3226,811528,NaN
19,1,96,1,5229,4196,4037,819874,NaN
20,1,89,0,5229,372,2428,826672,NaN
